Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn
HBW,Pk,P,      6.00,      2.10,      2.06,      0.02,      2.06,      0.04,      0.02,      0.00
HBW,Pk,A,      6.00,      8.40,      8.36,      0.02,      8.36,      0.04,      0.02,         0
HBO,Pk,P,      6.00,      5.23,      4.90,      0.04,      4.90,      0.33,      0.29,      0.01
HBO,Pk,A,      6.00,      6.25,      5.77,      0.05,      5.77,      0.48,      0.43,         0
NHB,Pk,P,      6.00,      0.87,      0.85,      0.00,      0.85,      0.02,      0.01,         0
NHB,Pk,A,      6.00,      0.88,      0.86,      0.00,      0.86,      0.02,      0.01,         0
HBC,Pk,P,      6.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      6.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      6.00,      0.54,      0.47,         0,      0.47,      0.07,      0.00,         0
HBSch,Pk,A,      6.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      7.00,    131.95,    122.27,      0.80,    122.68,      9.27,      7.40,      0.41
All,Pk,A,      7.00,    106.34,     98.79,      0.59,     98.79,      7.54,      6.95,         0
HBW,Pk,P,      7.00,     29.45,     28.61,      0.26,     28.69,      0.77,      0.51,      0.08
HBW,Pk,A,      7.00,     34.46,     33.84,      0.15,     33.84,      0.62,      0.47,         0
HBO,Pk,P,      7.00,     80.75,     73.40,      0.51,     73.73,      7.03,      6.52,      0.33
HBO,Pk,A,      7.00,     58.61,     52.08,      0.41,     52.08,      6.53,      6.12,         0
NHB,Pk,P,      7.00,     14.07,     13.68,      0.03,     13.68,      0.39,      0.36,      0.00
NHB,Pk,A,      7.00,     13.27,     12.88,      0.03,     12.88,      0.40,      0.36,         0
HBC,Pk,P,      7.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      7.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      7.00,      7.66,      6.58,      0.00,      6.58,      1.08,      0.01,         0
HBSch,Pk,A,      7.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      8.00,    252.17,    244.13,      1.67,    244.37,      7.80,      4.16,      0.24
All,Pk,A,      8.00,    159.02,    153.24,      1.28,    153.24,      5.78,      4.50,         0
HBW,Pk,P,      8.00,     43.05,     42.10,      0.56,     42.18,      0.87,      0.31,      0.09
HBW,Pk,A,      8.00,     37.79,     37.13,      0.32,     37.13,      0.66,      0.34,         0
HBO,Pk,P,      8.00,    112.56,    108.12,      0.94,    108.27,      4.29,      3.35,      0.15
HBO,Pk,A,      8.00,     87.18,     82.74,      0.79,     82.74,      4.44,      3.65,         0
NHB,Pk,P,      8.00,     35.69,     35.05,      0.16,     35.05,      0.64,      0.48,      0.00
NHB,Pk,A,      8.00,     34.05,     33.38,      0.16,     33.38,      0.67,      0.51,         0
HBC,Pk,P,      8.00,     48.00,     48.00,         0,     48.00,         0,         0,         0
HBC,Pk,A,      8.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      8.00,     12.87,     10.86,      0.00,     10.86,      2.00,      0.02,         0
HBSch,Pk,A,      8.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      9.00,     52.87,     49.33,      0.36,     49.38,      3.50,      2.76,      0.05
All,Pk,A,      9.00,    157.96,    153.85,      0.78,    153.85,      4.11,      3.33,         0
HBW,Pk,P,      9.00,     11.38,     10.77,      0.14,     10.79,      0.59,      0.45,      0.01
HBW,Pk,A,      9.00,     89.67,     88.80,      0.38,     88.80,      0.87,      0.49,         0
HBO,Pk,P,      9.00,     29.45,     27.05,      0.20,     27.09,      2.36,      2.16,      0.04
HBO,Pk,A,      9.00,     59.29,     56.21,      0.37,     56.21,      3.08,      2.70,         0
NHB,Pk,P,      9.00,      9.35,      9.19,      0.02,      9.19,      0.16,      0.14,      0.00
NHB,Pk,A,      9.00,      9.00,      8.84,      0.03,      8.84,      0.16,      0.14,         0
HBC,Pk,P,      9.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      9.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      9.00,      2.69,      2.31,      0.00,      2.31,      0.38,      0.00,         0
HBSch,Pk,A,      9.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     10.00,     76.81,     72.71,      0.57,     72.78,      4.03,      2.87,      0.08
All,Pk,A,     10.00,    175.46,    171.67,      1.01,    171.67,      3.79,      2.78,         0
HBW,Pk,P,     10.00,     16.72,     16.04,      0.21,     16.07,      0.65,      0.44,      0.02
HBW,Pk,A,     10.00,     94.57,     93.66,      0.48,     93.66,      0.91,      0.42,         0
HBO,Pk,P,     10.00,     44.56,     41.86,      0.32,     41.92,      2.64,      2.32,      0.05
HBO,Pk,A,     10.00,     69.95,     67.21,      0.49,     67.21,      2.74,      2.25,         0
NHB,Pk,P,     10.00,     11.52,     11.38,      0.03,     11.38,      0.14,      0.11,      0.00
NHB,Pk,A,     10.00,     10.94,     10.80,      0.04,     10.80,      0.14,      0.11,         0
HBC,Pk,P,     10.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     10.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     10.00,      4.01,      3.42,      0.00,      3.42,      0.59,      0.01,         0
HBSch,Pk,A,     10.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     11.00,     26.72,     26.11,      0.16,     26.12,      0.59,      0.19,      0.01
All,Pk,A,     11.00,     11.71,     11.49,      0.06,     11.49,      0.22,      0.15,         0
HBW,Pk,P,     11.00,      7.51,      7.44,      0.06,      7.45,      0.06,      0.00,      0.01
HBW,Pk,A,     11.00,      1.66,      1.66,         0,      1.66,         0,         0,         0
HBO,Pk,P,     11.00,     16.18,     15.89,      0.10,     15.90,      0.29,      0.18,      0.01
HBO,Pk,A,     11.00,      8.66,      8.45,      0.06,      8.45,      0.21,      0.15,         0
NHB,Pk,P,     11.00,      1.34,      1.33,      0.00,      1.33,      0.01,      0.00,         0
NHB,Pk,A,     11.00,      1.39,      1.38,      0.00,      1.38,      0.01,      0.00,         0
HBC,Pk,P,     11.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     11.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     11.00,      1.68,      1.44,      0.00,      1.44,      0.24,      0.00,         0
HBSch,Pk,A,     11.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     12.00,     60.10,     57.94,      0.43,     58.00,      2.10,      1.10,      0.06
All,Pk,A,     12.00,     25.05,     23.90,      0.17,     23.90,      1.15,      0.98,         0
HBW,Pk,P,     12.00,     16.18,     15.98,      0.16,     16.00,      0.18,      0.02,      0.03
HBW,Pk,A,     12.00,      2.07,      2.07,         0,      2.07,         0,         0,         0
HBO,Pk,P,     12.00,     36.62,     35.28,      0.25,     35.32,      1.30,      1.05,      0.04
HBO,Pk,A,     12.00,     19.58,     18.47,      0.15,     18.47,      1.11,      0.96,         0
NHB,Pk,P,     12.00,      3.33,      3.29,      0.01,      3.29,      0.04,      0.02,      0.00
NHB,Pk,A,     12.00,      3.40,      3.36,      0.01,      3.36,      0.04,      0.02,         0
HBC,Pk,P,     12.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     12.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     12.00,      3.97,      3.39,      0.00,      3.39,      0.58,      0.01,         0
HBSch,Pk,A,     12.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     15.00,     25.55,     25.29,      0.07,     25.30,      0.24,      0.14,      0.02
All,Pk,A,     15.00,    356.90,    354.50,      1.96,    354.50,      2.40,      0.44,         0
HBW,Pk,P,     15.00,      0.83,      0.81,      0.01,      0.81,      0.02,      0.01,         0
HBW,Pk,A,     15.00,    257.88,    256.41,      1.39,    256.41,      1.47,      0.08,         0
HBO,Pk,P,     15.00,      2.09,      2.02,      0.01,      2.03,      0.06,      0.05,      0.01
HBO,Pk,A,     15.00,     78.06,     77.27,      0.52,     77.27,      0.79,      0.28,         0
NHB,Pk,P,     15.00,     22.41,     22.27,      0.05,     22.28,      0.13,      0.08,      0.01
NHB,Pk,A,     15.00,     20.96,     20.82,      0.06,     20.82,      0.14,      0.08,         0
HBC,Pk,P,     15.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     15.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     15.00,      0.21,      0.18,         0,      0.18,      0.03,      0.00,         0
HBSch,Pk,A,     15.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     16.00,      8.71,      8.44,      0.06,      8.44,      0.27,      0.18,      0.00
All,Pk,A,     16.00,    135.52,    132.09,      1.30,    132.09,      3.43,      2.13,         0
HBW,Pk,P,     16.00,      0.85,      0.81,      0.01,      0.81,      0.04,      0.02,      0.00
HBW,Pk,A,     16.00,     76.27,     75.21,      0.75,     75.21,      1.06,      0.31,         0
HBO,Pk,P,     16.00,      2.00,      1.91,      0.02,      1.91,      0.10,      0.08,         0
HBO,Pk,A,     16.00,     53.77,     51.52,      0.52,     51.52,      2.25,      1.74,         0
NHB,Pk,P,     16.00,      5.62,      5.51,      0.03,      5.51,      0.11,      0.08,         0
NHB,Pk,A,     16.00,      5.48,      5.36,      0.03,      5.36,      0.12,      0.09,         0
HBC,Pk,P,     16.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     16.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     16.00,      0.23,      0.20,         0,      0.20,      0.03,      0.00,         0
HBSch,Pk,A,     16.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     17.00,     10.61,     10.22,      0.09,     10.23,      0.39,      0.18,      0.00
All,Pk,A,     17.00,      4.40,      4.34,      0.03,      4.34,      0.07,      0.04,         0
HBW,Pk,P,     17.00,      2.91,      2.85,      0.03,      2.85,      0.06,      0.03,      0.00
HBW,Pk,A,     17.00,      0.81,      0.81,         0,      0.81,         0,         0,         0
HBO,Pk,P,     17.00,      6.48,      6.28,      0.05,      6.28,      0.20,      0.15,      0.00
HBO,Pk,A,     17.00,      3.11,      3.05,      0.03,      3.05,      0.06,      0.03,         0
NHB,Pk,P,     17.00,      0.41,      0.41,      0.00,      0.41,      0.01,      0.00,         0
NHB,Pk,A,     17.00,      0.48,      0.47,      0.00,      0.47,      0.01,      0.00,         0
HBC,Pk,P,     17.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     17.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     17.00,      0.81,      0.69,      0.00,      0.69,      0.12,      0.00,         0
HBSch,Pk,A,     17.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     18.00,     64.34,     62.12,      0.28,     62.13,      2.22,      1.94,      0.00
All,Pk,A,     18.00,    951.97,    941.23,      7.61,    941.23,     10.74,      3.13,         0
HBW,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     18.00,    784.80,    778.09,      6.34,    778.09,      6.71,      0.37,         0
HBO,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     18.00,    107.23,    105.46,      0.98,    105.46,      1.77,      0.79,         0
NHB,Pk,P,     18.00,     64.34,     62.12,      0.28,     62.13,      2.22,      1.94,      0.00
NHB,Pk,A,     18.00,     59.94,     57.68,      0.29,     57.68,      2.26,      1.97,         0
HBC,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     18.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     18.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     19.00,    922.19,    842.51,      8.80,    843.56,     78.63,     44.88,      1.05
All,Pk,A,     19.00,    462.35,    422.44,      3.62,    422.59,     39.76,     36.14,      0.15
HBW,Pk,P,     19.00,    209.66,    203.06,      3.24,    203.73,      5.93,      2.69,      0.67
HBW,Pk,A,     19.00,     58.38,     57.12,      0.24,     57.14,      1.24,      1.00,      0.02
HBO,Pk,P,     19.00,    564.54,    520.04,      5.10,    520.40,     44.14,     39.04,      0.36
HBO,Pk,A,     19.00,    327.05,    291.87,      2.96,    291.99,     35.06,     32.10,      0.11
NHB,Pk,P,     19.00,     81.38,     78.03,      0.43,     78.05,      3.32,      2.89,      0.02
NHB,Pk,A,     19.00,     76.92,     73.45,      0.42,     73.46,      3.46,      3.04,      0.01
HBC,Pk,P,     19.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     19.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     19.00,     66.62,     41.37,      0.03,     41.37,     25.24,      0.25,         0
HBSch,Pk,A,     19.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     20.00,    505.01,    462.68,      5.11,    463.61,     41.40,     28.85,      0.93
All,Pk,A,     20.00,    326.56,    294.35,      2.62,    294.41,     32.15,     29.53,      0.07
HBW,Pk,P,     20.00,    124.74,    120.57,      2.03,    121.19,      3.54,      1.52,      0.62
HBW,Pk,A,     20.00,     35.24,     34.43,      0.16,     34.44,      0.80,      0.65,      0.00
HBO,Pk,P,     20.00,    301.29,    273.42,      2.77,    273.72,     27.58,     24.81,      0.29
HBO,Pk,A,     20.00,    237.68,    209.12,      2.17,    209.17,     28.51,     26.34,      0.05
NHB,Pk,P,     20.00,     56.64,     53.88,      0.30,     53.89,      2.75,      2.45,      0.01
NHB,Pk,A,     20.00,     53.64,     50.80,      0.30,     50.80,      2.84,      2.54,      0.01
HBC,Pk,P,     20.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     20.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     20.00,     22.34,     14.81,      0.01,     14.81,      7.53,      0.08,         0
HBSch,Pk,A,     20.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     21.00,     41.99,     40.53,      0.21,     40.53,      1.46,      1.26,      0.00
All,Pk,A,     21.00,    552.34,    542.94,      5.73,    542.94,      9.40,      3.67,         0
HBW,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     21.00,    494.26,    487.12,      5.34,    487.12,      7.14,      1.80,         0
HBO,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     21.00,     19.22,     18.46,      0.19,     18.46,      0.76,      0.57,         0
NHB,Pk,P,     21.00,     41.99,     40.53,      0.21,     40.53,      1.46,      1.26,      0.00
NHB,Pk,A,     21.00,     38.86,     37.35,      0.21,     37.35,      1.51,      1.30,         0
HBC,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     21.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     21.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     22.00,      7.05,      6.60,      0.07,      6.60,      0.45,      0.31,      0.00
All,Pk,A,     22.00,     15.37,     14.94,      0.16,     14.94,      0.44,      0.28,         0
HBW,Pk,P,     22.00,      1.54,      1.45,      0.02,      1.45,      0.09,      0.06,      0.00
HBW,Pk,A,     22.00,     11.97,     11.73,      0.13,     11.73,      0.24,      0.11,         0
HBO,Pk,P,     22.00,      3.93,      3.69,      0.04,      3.69,      0.24,      0.21,      0.00
HBO,Pk,A,     22.00,      2.30,      2.15,      0.02,      2.15,      0.15,      0.13,         0
NHB,Pk,P,     22.00,      1.11,      1.06,      0.01,      1.06,      0.05,      0.04,         0
NHB,Pk,A,     22.00,      1.10,      1.05,      0.01,      1.05,      0.05,      0.04,         0
HBC,Pk,P,     22.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     22.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     22.00,      0.47,      0.40,      0.00,      0.40,      0.07,      0.00,         0
HBSch,Pk,A,     22.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     23.00,     14.66,     13.35,      0.14,     13.35,      1.30,      0.78,      0.00
All,Pk,A,     23.00,     68.73,     65.14,      0.83,     65.15,      3.58,      2.75,      0.01
HBW,Pk,P,     23.00,      2.59,      2.42,      0.05,      2.42,      0.17,      0.12,      0.00
HBW,Pk,A,     23.00,     47.66,     46.03,      0.65,     46.04,      1.62,      0.97,      0.01
HBO,Pk,P,     23.00,      6.98,      6.40,      0.07,      6.40,      0.58,      0.51,      0.00
HBO,Pk,A,     23.00,     16.99,     15.21,      0.16,     15.21,      1.78,      1.61,      0.00
NHB,Pk,P,     23.00,      4.29,      4.12,      0.03,      4.12,      0.17,      0.14,         0
NHB,Pk,A,     23.00,      4.08,      3.90,      0.03,      3.90,      0.18,      0.16,         0
HBC,Pk,P,     23.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     23.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     23.00,      0.79,      0.40,      0.00,      0.40,      0.39,      0.00,         0
HBSch,Pk,A,     23.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     24.00,    530.89,    466.43,      5.26,    467.11,     63.77,     37.54,      0.69
All,Pk,A,     24.00,    234.05,    207.72,      1.83,    207.80,     26.25,     24.42,      0.08
HBW,Pk,P,     24.00,    123.78,    118.24,      2.02,    118.65,      5.13,      3.11,      0.41
HBW,Pk,A,     24.00,     26.63,     26.36,      0.05,     26.37,      0.26,      0.21,      0.00
HBO,Pk,P,     24.00,    333.19,    297.45,      3.03,    297.65,     35.54,     32.52,      0.20
HBO,Pk,A,     24.00,    175.35,    151.30,      1.59,    151.37,     23.97,     22.38,      0.07
NHB,Pk,P,     24.00,     33.96,     32.07,      0.19,     32.07,      1.89,      1.70,      0.01
NHB,Pk,A,     24.00,     32.07,     30.05,      0.19,     30.06,      2.01,      1.82,      0.01
HBC,Pk,P,     24.00,      4.00,      3.93,         0,      4.00,         0,         0,      0.07
HBC,Pk,A,     24.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     24.00,     35.96,     14.74,      0.03,     14.74,     21.22,      0.21,         0
HBSch,Pk,A,     24.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     25.00,   1228.63,   1055.40,     12.17,   1060.65,    167.97,    105.81,      5.25
All,Pk,A,     25.00,    896.06,    679.71,      6.50,    680.47,    215.59,     84.12,      0.76
HBW,Pk,P,     25.00,    263.81,    246.71,      4.55,    248.63,     15.18,     10.63,      1.92
HBW,Pk,A,     25.00,    158.52,    148.40,      1.49,    148.73,      9.80,      8.31,      0.33
HBO,Pk,P,     25.00,    751.47,    657.20,      6.86,    658.30,     93.17,     86.31,      1.10
HBO,Pk,A,     25.00,    471.51,    400.95,      4.19,    401.32,     70.19,     66.00,      0.37
NHB,Pk,P,     25.00,    128.23,    119.08,      0.70,    119.16,      9.07,      8.37,      0.08
NHB,Pk,A,     25.00,    121.53,    112.23,      0.68,    112.29,      9.24,      8.55,      0.07
HBC,Pk,P,     25.00,      6.00,      3.85,         0,      6.00,         0,         0,      2.15
HBC,Pk,A,     25.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     25.00,     79.12,     28.56,      0.06,     28.56,     50.56,      0.51,         0
HBSch,Pk,A,     25.00,    144.50,     18.13,      0.13,     18.13,    126.36,      1.26,         0
All,Pk,P,     26.00,    754.78,    653.44,      7.43,    655.89,     98.89,     71.51,      2.45
All,Pk,A,     26.00,    687.67,    603.35,      6.15,    604.55,     83.12,     76.97,      1.19
HBW,Pk,P,     26.00,    160.42,    147.35,      2.76,    148.82,     11.59,      8.83,      1.47
HBW,Pk,A,     26.00,    198.76,    183.84,      2.20,    184.57,     14.19,     11.98,      0.74
HBO,Pk,P,     26.00,    439.51,    380.59,      4.02,    381.43,     58.08,     54.06,      0.84
HBO,Pk,A,     26.00,    379.99,    319.68,      3.34,    320.06,     59.93,     56.59,      0.38
NHB,Pk,P,     26.00,    115.05,    105.92,      0.62,    106.01,      9.05,      8.42,      0.09
NHB,Pk,A,     26.00,    108.92,     99.84,      0.61,     99.92,      9.00,      8.40,      0.08
HBC,Pk,P,     26.00,      1.00,      0.95,         0,      1.00,         0,         0,      0.05
HBC,Pk,A,     26.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     26.00,     38.80,     18.63,      0.02,     18.63,     20.17,      0.20,         0
HBSch,Pk,A,     26.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     27.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     27.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     27.00,         0,         0,         0,         0,         0,         0,         0
