Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn
HBW,Pk,P,      6.00,      1.97,      1.92,      0.03,      1.92,      0.05,      0.03,         0
HBW,Pk,A,      6.00,     26.53,     26.33,      0.18,     26.33,      0.21,      0.03,         0
HBO,Pk,P,      6.00,      5.23,      4.90,      0.04,      4.90,      0.33,      0.29,      0.01
HBO,Pk,A,      6.00,      6.25,      5.77,      0.05,      5.77,      0.48,      0.43,         0
NHB,Pk,P,      6.00,      0.87,      0.85,      0.00,      0.85,      0.02,      0.01,         0
NHB,Pk,A,      6.00,      0.88,      0.86,      0.00,      0.86,      0.02,      0.01,         0
HBC,Pk,P,      6.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      6.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      6.00,      0.54,      0.47,         0,      0.47,      0.07,      0.00,         0
HBSch,Pk,A,      6.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      7.00,    130.76,    121.10,      0.84,    121.43,      9.33,      7.42,      0.33
All,Pk,A,      7.00,    168.86,    160.89,      1.00,    160.89,      7.97,      6.98,         0
HBW,Pk,P,      7.00,     28.27,     27.44,      0.30,     27.44,      0.83,      0.53,         0
HBW,Pk,A,      7.00,     96.98,     95.93,      0.55,     95.93,      1.05,      0.50,         0
HBO,Pk,P,      7.00,     80.75,     73.40,      0.51,     73.73,      7.03,      6.52,      0.33
HBO,Pk,A,      7.00,     58.61,     52.08,      0.41,     52.08,      6.53,      6.12,         0
NHB,Pk,P,      7.00,     14.07,     13.68,      0.03,     13.68,      0.39,      0.36,      0.00
NHB,Pk,A,      7.00,     13.27,     12.88,      0.03,     12.88,      0.40,      0.36,         0
HBC,Pk,P,      7.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      7.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      7.00,      7.66,      6.58,      0.00,      6.58,      1.08,      0.01,         0
HBSch,Pk,A,      7.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      8.00,    251.11,    243.08,      1.72,    243.23,      7.87,      4.17,      0.16
All,Pk,A,      8.00,    158.57,    152.76,      1.29,    152.76,      5.81,      4.51,         0
HBW,Pk,P,      8.00,     41.99,     41.05,      0.62,     41.05,      0.94,      0.32,         0
HBW,Pk,A,      8.00,     37.34,     36.65,      0.34,     36.65,      0.69,      0.35,         0
HBO,Pk,P,      8.00,    112.56,    108.12,      0.94,    108.27,      4.29,      3.35,      0.15
HBO,Pk,A,      8.00,     87.18,     82.74,      0.79,     82.74,      4.44,      3.65,         0
NHB,Pk,P,      8.00,     35.69,     35.05,      0.16,     35.05,      0.64,      0.48,      0.00
NHB,Pk,A,      8.00,     34.05,     33.38,      0.16,     33.38,      0.67,      0.51,         0
HBC,Pk,P,      8.00,     48.00,     48.00,         0,     48.00,         0,         0,         0
HBC,Pk,A,      8.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      8.00,     12.87,     10.86,      0.00,     10.86,      2.00,      0.02,         0
HBSch,Pk,A,      8.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,      9.00,     52.42,     48.87,      0.37,     48.91,      3.51,      2.77,      0.04
All,Pk,A,      9.00,    204.73,    200.22,      1.16,    200.22,      4.51,      3.35,         0
HBW,Pk,P,      9.00,     10.93,     10.32,      0.15,     10.32,      0.61,      0.46,         0
HBW,Pk,A,      9.00,    136.44,    135.17,      0.76,    135.17,      1.27,      0.51,         0
HBO,Pk,P,      9.00,     29.45,     27.05,      0.20,     27.09,      2.36,      2.16,      0.04
HBO,Pk,A,      9.00,     59.29,     56.21,      0.37,     56.21,      3.08,      2.70,         0
NHB,Pk,P,      9.00,      9.35,      9.19,      0.02,      9.19,      0.16,      0.14,      0.00
NHB,Pk,A,      9.00,      9.00,      8.84,      0.03,      8.84,      0.16,      0.14,         0
HBC,Pk,P,      9.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,      9.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,      9.00,      2.69,      2.31,      0.00,      2.31,      0.38,      0.00,         0
HBSch,Pk,A,      9.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     10.00,     76.14,     72.03,      0.58,     72.08,      4.06,      2.89,      0.05
All,Pk,A,     10.00,    207.10,    203.02,      1.29,    203.02,      4.08,      2.79,         0
HBW,Pk,P,     10.00,     16.05,     15.37,      0.23,     15.37,      0.68,      0.46,         0
HBW,Pk,A,     10.00,    126.21,    125.02,      0.77,    125.02,      1.20,      0.43,         0
HBO,Pk,P,     10.00,     44.56,     41.86,      0.32,     41.92,      2.64,      2.32,      0.05
HBO,Pk,A,     10.00,     69.95,     67.21,      0.49,     67.21,      2.74,      2.25,         0
NHB,Pk,P,     10.00,     11.52,     11.38,      0.03,     11.38,      0.14,      0.11,      0.00
NHB,Pk,A,     10.00,     10.94,     10.80,      0.04,     10.80,      0.14,      0.11,         0
HBC,Pk,P,     10.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     10.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     10.00,      4.01,      3.42,      0.00,      3.42,      0.59,      0.01,         0
HBSch,Pk,A,     10.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     11.00,     26.31,     25.70,      0.18,     25.70,      0.61,      0.19,      0.01
All,Pk,A,     11.00,     11.71,     11.49,      0.06,     11.49,      0.22,      0.15,         0
HBW,Pk,P,     11.00,      7.11,      7.03,      0.07,      7.03,      0.08,      0.00,         0
HBW,Pk,A,     11.00,      1.66,      1.66,         0,      1.66,         0,         0,         0
HBO,Pk,P,     11.00,     16.18,     15.89,      0.10,     15.90,      0.29,      0.18,      0.01
HBO,Pk,A,     11.00,      8.66,      8.45,      0.06,      8.45,      0.21,      0.15,         0
NHB,Pk,P,     11.00,      1.34,      1.33,      0.00,      1.33,      0.01,      0.00,         0
NHB,Pk,A,     11.00,      1.39,      1.38,      0.00,      1.38,      0.01,      0.00,         0
HBC,Pk,P,     11.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     11.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     11.00,      1.68,      1.44,      0.00,      1.44,      0.24,      0.00,         0
HBSch,Pk,A,     11.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     12.00,     59.33,     57.16,      0.46,     57.20,      2.13,      1.10,      0.04
All,Pk,A,     12.00,     25.05,     23.90,      0.17,     23.90,      1.15,      0.98,         0
HBW,Pk,P,     12.00,     15.41,     15.20,      0.19,     15.20,      0.21,      0.02,         0
HBW,Pk,A,     12.00,      2.07,      2.07,         0,      2.07,         0,         0,         0
HBO,Pk,P,     12.00,     36.62,     35.28,      0.25,     35.32,      1.30,      1.05,      0.04
HBO,Pk,A,     12.00,     19.58,     18.47,      0.15,     18.47,      1.11,      0.96,         0
NHB,Pk,P,     12.00,      3.33,      3.29,      0.01,      3.29,      0.04,      0.02,      0.00
NHB,Pk,A,     12.00,      3.40,      3.36,      0.01,      3.36,      0.04,      0.02,         0
HBC,Pk,P,     12.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     12.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     12.00,      3.97,      3.39,      0.00,      3.39,      0.58,      0.01,         0
HBSch,Pk,A,     12.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     15.00,     25.50,     25.24,      0.07,     25.25,      0.24,      0.14,      0.02
All,Pk,A,     15.00,    507.25,    503.29,      3.50,    503.29,      3.97,      0.46,         0
HBW,Pk,P,     15.00,      0.78,      0.76,      0.01,      0.76,      0.02,      0.01,         0
HBW,Pk,A,     15.00,    408.23,    405.20,      2.93,    405.20,      3.03,      0.10,         0
HBO,Pk,P,     15.00,      2.09,      2.02,      0.01,      2.03,      0.06,      0.05,      0.01
HBO,Pk,A,     15.00,     78.06,     77.27,      0.52,     77.27,      0.79,      0.28,         0
NHB,Pk,P,     15.00,     22.41,     22.27,      0.05,     22.28,      0.13,      0.08,      0.01
NHB,Pk,A,     15.00,     20.96,     20.82,      0.06,     20.82,      0.14,      0.08,         0
HBC,Pk,P,     15.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     15.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     15.00,      0.21,      0.18,         0,      0.18,      0.03,      0.00,         0
HBSch,Pk,A,     15.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     16.00,      8.66,      8.39,      0.06,      8.39,      0.27,      0.18,         0
All,Pk,A,     16.00,    134.80,    131.30,      1.37,    131.30,      3.51,      2.13,         0
HBW,Pk,P,     16.00,      0.80,      0.76,      0.01,      0.76,      0.04,      0.02,         0
HBW,Pk,A,     16.00,     75.55,     74.42,      0.82,     74.42,      1.14,      0.31,         0
HBO,Pk,P,     16.00,      2.00,      1.91,      0.02,      1.91,      0.10,      0.08,         0
HBO,Pk,A,     16.00,     53.77,     51.52,      0.52,     51.52,      2.25,      1.74,         0
NHB,Pk,P,     16.00,      5.62,      5.51,      0.03,      5.51,      0.11,      0.08,         0
NHB,Pk,A,     16.00,      5.48,      5.36,      0.03,      5.36,      0.12,      0.09,         0
HBC,Pk,P,     16.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     16.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     16.00,      0.23,      0.20,         0,      0.20,      0.03,      0.00,         0
HBSch,Pk,A,     16.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     17.00,     10.39,     10.00,      0.09,     10.00,      0.39,      0.18,      0.00
All,Pk,A,     17.00,      4.40,      4.34,      0.03,      4.34,      0.07,      0.04,         0
HBW,Pk,P,     17.00,      2.69,      2.62,      0.03,      2.62,      0.07,      0.03,         0
HBW,Pk,A,     17.00,      0.81,      0.81,         0,      0.81,         0,         0,         0
HBO,Pk,P,     17.00,      6.48,      6.28,      0.05,      6.28,      0.20,      0.15,      0.00
HBO,Pk,A,     17.00,      3.11,      3.05,      0.03,      3.05,      0.06,      0.03,         0
NHB,Pk,P,     17.00,      0.41,      0.41,      0.00,      0.41,      0.01,      0.00,         0
NHB,Pk,A,     17.00,      0.48,      0.47,      0.00,      0.47,      0.01,      0.00,         0
HBC,Pk,P,     17.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     17.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     17.00,      0.81,      0.69,      0.00,      0.69,      0.12,      0.00,         0
HBSch,Pk,A,     17.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     18.00,     64.34,     62.12,      0.28,     62.13,      2.22,      1.94,      0.00
All,Pk,A,     18.00,    961.13,    949.05,      8.95,    949.05,     12.08,      3.13,         0
HBW,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     18.00,    793.96,    785.91,      7.68,    785.91,      8.05,      0.37,         0
HBO,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     18.00,    107.23,    105.46,      0.98,    105.46,      1.77,      0.79,         0
NHB,Pk,P,     18.00,     64.34,     62.12,      0.28,     62.13,      2.22,      1.94,      0.00
NHB,Pk,A,     18.00,     59.94,     57.68,      0.29,     57.68,      2.26,      1.97,         0
HBC,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     18.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     18.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     18.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     19.00,    919.78,    840.08,      8.99,    840.92,     78.86,     44.91,      0.84
All,Pk,A,     19.00,    462.16,    422.23,      3.63,    422.38,     39.78,     36.16,      0.15
HBW,Pk,P,     19.00,    207.25,    200.63,      3.42,    201.10,      6.15,      2.72,      0.47
HBW,Pk,A,     19.00,     58.19,     56.91,      0.24,     56.93,      1.26,      1.02,      0.02
HBO,Pk,P,     19.00,    564.54,    520.04,      5.10,    520.40,     44.14,     39.04,      0.36
HBO,Pk,A,     19.00,    327.05,    291.87,      2.96,    291.99,     35.06,     32.10,      0.11
NHB,Pk,P,     19.00,     81.38,     78.03,      0.43,     78.05,      3.32,      2.89,      0.02
NHB,Pk,A,     19.00,     76.92,     73.45,      0.42,     73.46,      3.46,      3.04,      0.01
HBC,Pk,P,     19.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     19.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     19.00,     66.62,     41.37,      0.03,     41.37,     25.24,      0.25,         0
HBSch,Pk,A,     19.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     20.00,    503.00,    460.88,      5.22,    461.46,     41.54,     28.87,      0.58
All,Pk,A,     20.00,    326.81,    294.58,      2.62,    294.65,     32.16,     29.54,      0.07
HBW,Pk,P,     20.00,    122.72,    118.77,      2.14,    119.04,      3.68,      1.54,      0.27
HBW,Pk,A,     20.00,     35.49,     34.67,      0.16,     34.68,      0.82,      0.66,      0.01
HBO,Pk,P,     20.00,    301.29,    273.42,      2.77,    273.72,     27.58,     24.81,      0.29
HBO,Pk,A,     20.00,    237.68,    209.12,      2.17,    209.17,     28.51,     26.34,      0.05
NHB,Pk,P,     20.00,     56.64,     53.88,      0.30,     53.89,      2.75,      2.45,      0.01
NHB,Pk,A,     20.00,     53.64,     50.80,      0.30,     50.80,      2.84,      2.54,      0.01
HBC,Pk,P,     20.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     20.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     20.00,     22.34,     14.81,      0.01,     14.81,      7.53,      0.08,         0
HBSch,Pk,A,     20.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     21.00,     41.99,     40.53,      0.21,     40.53,      1.46,      1.26,      0.00
All,Pk,A,     21.00,    548.09,    538.03,      6.37,    538.03,     10.06,      3.69,         0
HBW,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     21.00,    490.01,    482.22,      5.97,    482.22,      7.79,      1.82,         0
HBO,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     21.00,     19.22,     18.46,      0.19,     18.46,      0.76,      0.57,         0
NHB,Pk,P,     21.00,     41.99,     40.53,      0.21,     40.53,      1.46,      1.26,      0.00
NHB,Pk,A,     21.00,     38.86,     37.35,      0.21,     37.35,      1.51,      1.30,         0
HBC,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     21.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     21.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     21.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     22.00,      6.98,      6.53,      0.07,      6.53,      0.45,      0.31,      0.00
All,Pk,A,     22.00,     15.09,     14.64,      0.17,     14.64,      0.45,      0.28,         0
HBW,Pk,P,     22.00,      1.47,      1.38,      0.03,      1.38,      0.09,      0.07,         0
HBW,Pk,A,     22.00,     11.69,     11.44,      0.14,     11.44,      0.26,      0.11,         0
HBO,Pk,P,     22.00,      3.93,      3.69,      0.04,      3.69,      0.24,      0.21,      0.00
HBO,Pk,A,     22.00,      2.30,      2.15,      0.02,      2.15,      0.15,      0.13,         0
NHB,Pk,P,     22.00,      1.11,      1.06,      0.01,      1.06,      0.05,      0.04,         0
NHB,Pk,A,     22.00,      1.10,      1.05,      0.01,      1.05,      0.05,      0.04,         0
HBC,Pk,P,     22.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     22.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     22.00,      0.47,      0.40,      0.00,      0.40,      0.07,      0.00,         0
HBSch,Pk,A,     22.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     23.00,     14.65,     13.33,      0.14,     13.33,      1.32,      0.79,      0.00
All,Pk,A,     23.00,     66.98,     63.35,      0.86,     63.36,      3.63,      2.77,      0.01
HBW,Pk,P,     23.00,      2.58,      2.40,      0.05,      2.40,      0.18,      0.13,      0.00
HBW,Pk,A,     23.00,     45.91,     44.24,      0.68,     44.25,      1.67,      0.99,      0.01
HBO,Pk,P,     23.00,      6.98,      6.40,      0.07,      6.40,      0.58,      0.51,      0.00
HBO,Pk,A,     23.00,     16.99,     15.21,      0.16,     15.21,      1.78,      1.61,      0.00
NHB,Pk,P,     23.00,      4.29,      4.12,      0.03,      4.12,      0.17,      0.14,         0
NHB,Pk,A,     23.00,      4.08,      3.90,      0.03,      3.90,      0.18,      0.16,         0
HBC,Pk,P,     23.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     23.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     23.00,      0.79,      0.40,      0.00,      0.40,      0.39,      0.00,         0
HBSch,Pk,A,     23.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     24.00,    529.30,    464.80,      5.35,    465.40,     63.90,     37.57,      0.60
All,Pk,A,     24.00,    234.28,    207.95,      1.83,    208.03,     26.25,     24.42,      0.08
HBW,Pk,P,     24.00,    122.19,    116.62,      2.11,    116.93,      5.26,      3.15,      0.32
HBW,Pk,A,     24.00,     26.86,     26.59,      0.05,     26.59,      0.27,      0.21,      0.00
HBO,Pk,P,     24.00,    333.19,    297.45,      3.03,    297.65,     35.54,     32.52,      0.20
HBO,Pk,A,     24.00,    175.35,    151.30,      1.59,    151.37,     23.97,     22.38,      0.07
NHB,Pk,P,     24.00,     33.96,     32.07,      0.19,     32.07,      1.89,      1.70,      0.01
NHB,Pk,A,     24.00,     32.07,     30.05,      0.19,     30.06,      2.01,      1.82,      0.01
HBC,Pk,P,     24.00,      4.00,      3.93,         0,      4.00,         0,         0,      0.07
HBC,Pk,A,     24.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     24.00,     35.96,     14.74,      0.03,     14.74,     21.22,      0.21,         0
HBSch,Pk,A,     24.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     25.00,   1226.23,   1053.20,     12.34,   1057.95,    168.28,    105.95,      4.74
All,Pk,A,     25.00,    891.18,    674.71,      6.53,    675.43,    215.75,     84.25,      0.72
HBW,Pk,P,     25.00,    261.41,    244.51,      4.72,    245.93,     15.48,     10.76,      1.41
HBW,Pk,A,     25.00,    153.64,    143.40,      1.53,    143.68,      9.96,      8.43,      0.29
HBO,Pk,P,     25.00,    751.47,    657.20,      6.86,    658.30,     93.17,     86.31,      1.10
HBO,Pk,A,     25.00,    471.51,    400.95,      4.19,    401.32,     70.19,     66.00,      0.37
NHB,Pk,P,     25.00,    128.23,    119.08,      0.70,    119.16,      9.07,      8.37,      0.08
NHB,Pk,A,     25.00,    121.53,    112.23,      0.68,    112.29,      9.24,      8.55,      0.07
HBC,Pk,P,     25.00,      6.00,      3.85,         0,      6.00,         0,         0,      2.15
HBC,Pk,A,     25.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     25.00,     79.12,     28.56,      0.06,     28.56,     50.56,      0.51,         0
HBSch,Pk,A,     25.00,    144.50,     18.13,      0.13,     18.13,    126.36,      1.26,         0
All,Pk,P,     26.00,    753.02,    651.80,      7.53,    653.90,     99.11,     71.63,      2.10
All,Pk,A,     26.00,    680.04,    595.60,      6.22,    596.68,     83.36,     77.14,      1.08
HBW,Pk,P,     26.00,    158.65,    145.72,      2.86,    146.84,     11.81,      8.95,      1.12
HBW,Pk,A,     26.00,    191.13,    176.08,      2.26,    176.71,     14.42,     12.16,      0.62
HBO,Pk,P,     26.00,    439.51,    380.59,      4.02,    381.43,     58.08,     54.06,      0.84
HBO,Pk,A,     26.00,    379.99,    319.68,      3.34,    320.06,     59.93,     56.59,      0.38
NHB,Pk,P,     26.00,    115.05,    105.92,      0.62,    106.01,      9.05,      8.42,      0.09
NHB,Pk,A,     26.00,    108.92,     99.84,      0.61,     99.92,      9.00,      8.40,      0.08
HBC,Pk,P,     26.00,      1.00,      0.95,         0,      1.00,         0,         0,      0.05
HBC,Pk,A,     26.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     26.00,     38.80,     18.63,      0.02,     18.63,     20.17,      0.20,         0
HBSch,Pk,A,     26.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     27.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     27.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     27.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     27.00,         0,         0,         0,         0,         0,         0,         0
